Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,TEE-VN-MINT,8901234500011,Mint Green V-Neck Tee,1,0,visible,"A soft, lightweight mint green V-neck tee designed for everyday comfort and easy styling. Clean, versatile, and perfect for casual wear.","The Mint Green V-Neck Tee is a simple essential designed for everyday comfort and effortless style. Made with a soft, lightweight feel, this tee is easy to wear on its own or layered under your favorite jacket or hoodie. The V-neck cut adds a subtle touch of polish, making it a versatile option for casual outings, relaxed workdays, or weekend wear. The fresh mint green color brings a calm, modern look that pairs well with jeans, shorts, or neutral layers.",,,taxable,,1,,,0,0,0.20,30,25,2,1,,,18,Clothing > T-shirts,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/mint-green-vneck-tee-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/mint-green-vneck-tee-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/mint-green-vneck-tee-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/mint-green-vneck-tee-fold.jpg",,,,,,,,,0,,,,,
simple,POLO-OCMST,8901234500028,Ocean Mist Casual Polo,1,0,visible,"A soft, casual polo in a fresh ocean mist blue with a classic collar and button placket. Comfortable, versatile, and easy to style.","The Ocean Mist Casual Polo delivers a clean, relaxed style with a refined edge. Featuring a classic collar and button placket, this polo is designed for everyday comfort while still looking put together. The soft ocean mist blue tone gives it a fresh, easygoing feel that works well for casual outings, office wear, or weekend plans. Simple, versatile, and comfortable, it’s a reliable choice you’ll reach for again and again.",,,taxable,,1,,,0,0,0.25,32,26,3,1,,,20,Clothing > T-shirts,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/ocean-mist-casual-polo-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/ocean-mist-casual-polo-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/ocean-mist-casual-polo-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/ocean-mist-casual-polo-fold.jpg",,,,,,,,,0,,,,,
simple,HD-PL-PEACH,8901234500035,Peach Everyday Pullover Hoodie,1,0,visible,"A soft pullover hoodie in a warm peach shade with a classic hood and front pocket. Comfortable, casual, and easy to wear every day.","The Peach Everyday Pullover Hoodie is made for comfort you can count on. Designed with a classic hood, adjustable drawstrings, and a front kangaroo pocket, this hoodie is perfect for relaxed days and cool evenings. The soft peach tone adds a warm, laid-back feel that’s easy to pair with jeans, joggers, or lounge wear. Whether you’re heading out or staying in, this pullover hoodie delivers cozy coverage without feeling bulky.",,,taxable,,1,,,0,0,0.65,38,30,6,1,,,45,Clothing > Hoodie,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/peach-everyday-pullover-hoodie-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/peach-everyday-pullover-hoodie-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/peach-everyday-pullover-hoodie-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/peach-everyday-pullover-hoodie-fold.jpg",,,,,,,,,0,,,,,
simple,TEE-CN-NEUT,8901234500042,Soft Neutral Crew Neck Tee,1,0,visible,"A classic crew neck tee in a soft neutral shade. Comfortable, versatile, and perfect for everyday styling.","The Soft Neutral Crew Neck Tee is a timeless essential built for everyday wear. Designed with a classic crew neckline and a relaxed, comfortable fit, this tee keeps things simple and versatile. The soft neutral tone makes it easy to pair with just about anything, from denim and chinos to layered looks with jackets or hoodies. Lightweight and easy to wear, it’s the kind of staple you’ll keep reaching for, no matter the season.",,,taxable,,1,,,0,0,0.20,30,25,2,1,,,18,Clothing > T-shirts,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-neutral-crew-neck-tee-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-neutral-crew-neck-tee-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-neutral-crew-neck-tee-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-neutral-crew-neck-tee-fold.jpg",,,,,,,,,0,,,,,
simple,SWT-RAG-SAGE,8901234500059,Soft Sage Raglan Crew,1,0,visible,"A comfortable raglan crew in a soft sage tone with a relaxed fit and classic finish. Easy to wear, versatile, and perfect for everyday layering.","The Soft Sage Raglan Crew is designed for relaxed comfort with a modern, understated look. Featuring raglan sleeves and a classic crew neckline, this piece offers an easy fit that moves with you throughout the day. The soft sage color adds a calm, versatile tone that works well on its own or layered over a tee. Finished with ribbed cuffs and hem, it’s a go-to option for casual days, cooler evenings, or laid-back weekends.",,,taxable,,1,,,0,0,0.55,36,28,5,1,,,25,Clothing > Sweater,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-sage-raglan-crew-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-sage-raglan-crew-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-sage-raglan-crew-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/soft-sage-raglan-crew-fold.jpg",,,,,,,,,0,,,,,
simple,BLT-LTH-BRN,8901234500066,Brown Buckle Leather Belt,1,0,visible,"A classic brown leather belt with a sturdy metal buckle. Versatile, durable, and perfect for everyday wear.","The Brown Buckle Leather Belt is a timeless accessory designed to complete any everyday look. Crafted with a smooth brown leather finish and a classic metal buckle, this belt offers both durability and understated style. Its versatile design makes it easy to pair with jeans, chinos, or dress pants, whether you’re dressing casually or going for a more polished outfit. Simple, reliable, and well-balanced, this belt is a wardrobe staple you’ll use for years.",,,taxable,,1,,,0,0,0.30,20,15,5,1,,,55,Clothing > Accessories,,,https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/brown-buckle-leather-belt.jpg,,,,,,,,,0,,,,,
simple,CAP-SNAP-CHR,8901234500073,Charcoal Casual Snapback Cap,1,0,visible,"A charcoal snapback cap with a structured fit and adjustable closure. Clean, comfortable, and easy to wear every day","The Charcoal Casual Snapback Cap is a modern essential designed for everyday wear. Featuring a structured crown, flat brim, and adjustable snapback closure, this cap offers a comfortable fit with a clean, understated look. The charcoal color adds versatility, making it easy to pair with casual outfits, streetwear, or laid-back weekend styles. Simple and reliable, it’s a go-to accessory for effortless everyday use.",,,taxable,,1,,,0,0,0.18,25,22,12,1,,16,18,Clothing > Accessories,,,https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/charcoal-casual-snapback-cap.jpg,,,,,,,,,0,,,,,
simple,HD-ZIP-DBLU,8901234500080,Dusty Blue Full Zip Hoodie,1,0,visible,"A full zip hoodie in a soft dusty blue shade with a relaxed fit and everyday comfort. Easy to layer, easy to wear.","The Dusty Blue Full Zip Hoodie is a comfortable everyday layer designed for easy wear and versatility. Featuring a full-length zipper, adjustable drawstring hood, and front pockets, this hoodie is perfect for changing weather and on-the-go comfort. The dusty blue tone adds a soft, relaxed look that pairs effortlessly with jeans, joggers, or casual basics. Whether you’re heading out or winding down, this hoodie delivers comfort without feeling heavy.",,,taxable,,1,,,0,0,0.70,38,30,6,1,,,45,Clothing > Hoodie,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/dusty-blue-full-zip-hoodie-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/dusty-blue-full-zip-hoodie-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/dusty-blue-full-zip-hoodie-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/dusty-blue-full-zip-hoodie-fold.jpg",,,,,,,,,0,,,,,
simple,BEAN-CUFF-LBLU,8901234500097,Light Blue Cuffed Beanie,1,0,visible,"A light blue cuffed beanie with a classic fit and soft feel. Comfortable, versatile, and perfect for everyday cold-weather wear.","The Light Blue Cuffed Beanie is a simple, everyday accessory made for warmth and easy style. Designed with a classic cuffed fit, this beanie sits comfortably while providing reliable coverage on cooler days. The light blue color adds a soft, fresh look that pairs well with casual outfits, jackets, and hoodies. Finished with a subtle front patch detail, it’s an easy go-to for daily wear during colder seasons.",,,taxable,,1,,,0,0,0.15,20,18,4,1,,18,20,Clothing > Accessories,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/light-blue-cuffed-beanie-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/light-blue-cuffed-beanie-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/light-blue-cuffed-beanie-angle.jpg",,,,,,,,,0,,,,,
variable,HD-FLC-CLS,8901234500103,Classic Fit Fleece Hoodie,1,0,visible,"A classic fit fleece hoodie with a soft feel and everyday comfort. Warm, versatile, and easy to wear year-round.","The Classic Fit Fleece Hoodie is built for everyday comfort and easy layering. Designed with a relaxed classic fit, this hoodie features a cozy fleece interior, adjustable drawstring hood, and a front kangaroo pocket for added warmth and convenience. The timeless design makes it a reliable choice for casual wear, lounging, or cooler days on the go. Comfortable, durable, and easy to style, this hoodie is a staple you’ll reach for season after season.",,,taxable,,1,,,0,0,0.65,38,30,5,1,,,,Clothing > Hoodie,,,"https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/classic-fit-fleece-hoodie-gray-front.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/classic-fit-fleece-hoodie-gray-back.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/classic-fit-fleece-hoodie-gray-side.jpg, https://raw.githubusercontent.com/tanjiralmamun/woo-sample-products/refs/heads/trunk/images/classic-fit-fleece-hoodie-gray-fold.jpg",,,,,,,,,0,,Color,"Brown, Dark Navy, Sage Green",1,1
